match_id,batter,runs_batter,balls_faced
336000,DB Das,11,13
336000,DJ Hussey,42,30
336000,GC Smith,2,7
336000,I Sharma,1,1
336000,LR Shukla,2,2
336000,M Kaif,21,18
336000,M Rawat,1,1
336000,RA Jadeja,33,19
336000,SA Asnodkar,60,34
336000,SC Ganguly,51,39
336000,SK Warne,7,8
336000,SR Watson,0,1
336000,Salman Butt,7,7
336000,Sohail Tanvir,3,3
336000,Umar Gul,2,2
336000,WP Saha,1,2
336000,YK Pathan,55,33
336001,AB de Villiers,26,21
336001,G Gambhir,50,37
336001,JA Morkel,28,16
336001,MS Dhoni,32,27
336001,PA Patel,21,20
336001,S Badrinath,11,5
336001,S Dhawan,19,17
336001,S Vidyut,54,37
336001,SK Raina,3,4
336001,SP Fleming,13,13
336001,V Sehwag,71,41
336002,AC Gilchrist,46,37
336002,AS Yadav,8,8
336002,B Akhil,27,7
336002,CL White,31,23
336002,DB Ravi Teja,7,7
336002,HH Gibbs,47,34
336002,JH Kallis,31,25
336002,LPC Silva,0,2
336002,Misbah-ul-Haq,34,28
336002,R Dravid,31,21
336002,RG Sharma,17,16
336002,RP Singh,1,3
336002,V Kohli,9,5
336002,W Jaffer,5,5
336002,WPUJC Vaas,0,3
336002,Y Venugopal Rao,26,12
336003,AB Agarkar,1,2
336003,BJ Hodge,1,3
336003,DB Das,5,8
336003,DJ Hussey,71,46
336003,DPMD Jayawardene,10,6
336003,IK Pathan,24,26
336003,JR Hopes,18,12
336003,K Goel,6,7
336003,KC Sangakkara,28,21
336003,LR Shukla,7,10
336003,Mohammad Hafeez,13,12
336003,PP Chawla,21,7
336003,SC Ganguly,5,7
336003,SE Marsh,40,32
336003,WP Saha,59,32
336003,Yuvraj Singh,17,10
336004,AB de Villiers,21,17
336004,AM Nayar,2,6
336004,DJ Bravo,2,4
336004,DJ Thornely,30,24
336004,G Gambhir,1,9
336004,GD McGrath,0,2
336004,KD Karthik,28,23
336004,Mohammad Asif,0,1
336004,PJ Sangwan,2,4
336004,R Bhatia,9,8
336004,RR Raje,6,5
336004,RV Uthappa,22,21
336004,S Dhawan,1,3
336004,SM Pollock,33,15
336004,SS Tiwary,9,10
336004,ST Jayasuriya,34,16
336004,Shoaib Malik,24,22
336004,V Sehwag,40,20
336004,VY Mahesh,3,5
336004,YV Takawale,14,20
336005,GC Smith,35,44
336005,JA Morkel,42,33
336005,Joginder Sharma,0,1
336005,M Muralitharan,0,3
336005,M Ntini,11,12
336005,MS Dhoni,1,7
336005,MS Gony,1,4
336005,PA Patel,0,1
336005,S Badrinath,15,14
336005,S Vidyut,5,10
336005,SA Asnodkar,32,30
336005,SK Raina,27,27
336005,SP Fleming,0,2
336005,SR Watson,14,8
336005,YK Pathan,8,5
336006,A Kumble,3,7
336006,CL White,0,1
336006,DPMD Jayawardene,17,22
336006,DT Patil,4,1
336006,DW Steyn,1,3
336006,IK Pathan,17,17
336006,JH Kallis,0,3
336006,JR Hopes,5,4
336006,Misbah-ul-Haq,8,7
336006,P Kumar,0,2
336006,R Dravid,66,51
336006,RR Sarwan,31,29
336006,SE Marsh,39,34
336006,V Kohli,34,36
336006,W Jaffer,0,4
336006,Yuvraj Singh,1,4
336006,Z Khan,0,1
336007,AC Gilchrist,54,36
336007,HH Gibbs,10,10
336007,JA Morkel,29,19
336007,Joginder Sharma,16,10
336007,MS Dhoni,23,31
336007,MS Gony,15,6
336007,PA Patel,4,6
336007,RG Sharma,23,17
336007,S Anirudha,1,7
336007,S Badrinath,0,4
336007,SB Styris,36,41
336007,SK Raina,32,21
336007,SP Fleming,14,16
336007,Shahid Afridi,20,6
336008,AM Nayar,12,13
336008,DJ Bravo,1,5
336008,GC Smith,5,9
336008,M Kaif,4,7
336008,M Rawat,1,5
336008,MM Patel,0,1
